,Unnamed: 0,content,intensity,sentiment
0,0, anything for  so sorry man  i am not a patsy generally,3,sadness
1,1, you suck majorly  im swampedso why am i on twitteri dont knowbut still  a golf tournament,2,sadness
2,2,i feel blessed to have found such a wonderful friend,2,happiness
3,3,im feeling lucky see the jumping google logo it may take time,2,happiness
4,4,i swear he had feelings that teddy i was so convinced of that and i was very very careful to always make him feel special and more loved than any of my other toys and teddies,3,happiness
5,5, thank ye vaneta  much appreciated,1,happiness
6,6,i am sure that fans of every other team feel one of their guys got slighted and in the long run it really doesnt make much of a difference its just a shame that someone as talented as evgeni malkin was left off,3,happiness
7,7,just finished baking some cinnamon rolls   soooo yummy,2,happiness
8,8,at an important moment in a volleyball game we made a point and by this we won a set from a much stronger competitor,1,happiness
9,9,good morning world  haha had fun at the movies last night d and school now hmm new shoes make it better  httptinyurlcomdfggwj,2,happiness
10,10,i feel i must apologise as i was a little giggly tonight and received a raised eyebrow from a sensible member of the youth orchestra,3,happiness
11,11,in mallorca want to play guitar   when i come home im going to buy the mcfly dvd first ,1,happiness
12,12,i feel guilty to my family my friends who made the introduction for me to that job and somehow i even feel guilty to my boss even though he fooled and lied to me,2,sadness
13,13,i am not looking forward to being beaten down to feeling like a disappointment to my husband or to the emotional pain,3,sadness
14,14,i feels acceptable even desirable,1,happiness
15,15,ive done all my usual workouts and so i feel confident that i worked hard on that front,2,happiness
16,16,i was hoping i could rock a bikini with my belly this summer but im not feeling very cute at this stage,3,happiness
17,17,is planning her week its going to good going to get a lot of stuff done,1,sadness
18,18,is such a good big cousin as shes taking her little cousin to see hannah montana the movie next weekend,3,happiness
19,19,i feel as though i am boring or a bit dull because it is hard to keep up with her energy and i do not want her to get the wrong impression,3,sadness
20,20,i said earlier our bodies have gotten used to the heat and the curiosity of what degrees feels like keeps me eager for the next summer day,1,happiness
21,21,when a teacher though pretending to be a highly cultivated teacher and a man slapped a classmate of mine in the face quite undeservedly,2,anger
22,22,i will feel fantastic refreshed and rejuvenated as if i had just woken up from a restful hour nap,2,happiness
23,23,is up moooooorning  httpplurkcompsu3dg,1,happiness
24,24,when i received the acceptance form for the second year at university,1,happiness
25,25,i have a feeling a forks version of that charming little tale will happen soon,1,happiness
26,26, im sorry,1,sadness
27,27,i kinda feel more relaxed with this blog than with the other one,2,happiness
28,28,does anyone still play n64 anymore or super nintendo werent those days the best haha so many flashbacks,1,happiness
29,29,  do you know if anyone from the believers never die tour is going on warped i know  i cant wait haha,1,happiness
30,30,   hello  and thanks for the follow,1,happiness
31,31,outta the shower too bad justin couldnt spend the night  haha,2,sadness
32,32,aw how to lose a guy in ten days  lt3,2,sadness
33,33, yeah school sucks totally yea you can be so grateful that you got a better place  man i cant tell you how excited i am hul,3,happiness
34,34,i didnt feel particularly sociable,3,happiness
35,35,i need even with his love and grace i still feel like i would feel lost without human companionship and i dont know how well id be able to deal with the loss of some of my best friends,2,sadness
36,36,i felt sadness when i remembered my former boyfriend with whom i got separated an year ago and when comparing him with my present one with whom things are not much of a success,3,sadness
37,37,i was left feeling foolish all alone in the rain,2,sadness
38,38,im feeling holly jolly how about you,3,happiness
39,39,enjoyed xmen w   now its time to rest up for this drive homehappy mothers day twitmoms,1,happiness
40,40, im gladsad that its not just memy iphone  badoptus,1,sadness
41,41, aww dont cry ashley,2,sadness
42,42,why do i even bother anymore everyone is makin me feel like im a waste of space,3,sadness
43,43,im bored  hope your wlan will go today,1,sadness
44,44,nothing could get worse or could it if it did i think id be on the verge of killing myself or someone else things are not good anymore,3,sadness
45,45,this happened when i could not get into the school i had initially wanted,3,anger
46,46,i feel like i am in ludicrous speed,1,sadness
47,47,i don t feel they re being rude or impudent,1,anger
48,48, its wow effect  thanks for the update,1,sadness
49,49, happy mothers day  httpbitlyijm54  my friends made the video,1,happiness
50,50,i am not sure if anyone at all can understand how i feel toward them but i almost feel like one of those troubled teens they often have on maury,2,sadness
51,51,i said well we can but i m feeling greedy with your time,1,anger
52,52,im feeling resentful and persecuted about that whole aspect,2,anger
53,53, murphys law  sorry that your computer is not cooperating when you have lots of work my kids are  httptinyurlcomkm235x,1,anger
54,54,i feel it is very rude and ingorant,3,anger
55,55,i wake up ill feel really really mad,3,anger
56,56, thanks glad you agree wth my follow or not policy,1,happiness
57,57,i am not surprised that some people may be feeling outraged at the terrible environmental consequences of the logging and the dam and after seeing how their leaders have betrayed them are now turning to higher authorities divine help as a last resort,2,anger
58,58,ive spent a lazy day today finding some interesting people to follow  its reinforced the saying it takes all sorts of people ,1,happiness
59,59, oooooo  no i have not glad to hear it was incredible though i still have it bookmarked to try sometime,1,happiness
60,60,all dressed now everything,1,happiness
61,61, it just upsets me  becasue like 6 years we have loved them  and then this happens  imm really uset now x,3,sadness
62,62, why thx webdu i was only at the conf on thurs,1,happiness
63,63,i bet you are feeling really mad and hurt,3,anger
64,64, welcome to twitter my friend,1,happiness
65,65,i always feel boosted spiritually but totally drained physically,3,sadness
66,66, actually the web works fine tweetdeck seems to be the culprit  sadness its done this at two diff locations,2,sadness
67,67,im feeling adventurous i might even make it multiple tiers too,1,happiness
68,68,i feel honored to have those books on my shelves,1,happiness
69,69,i woke up about am feeling a little disturbed,2,sadness
70,70,i really became sad when mother passed away while i was very young,3,sadness
71,71,when i recently managed to get my first consulting assignment myself ie on my own initiative,1,happiness
72,72,im taking a year out now so for the first time in a good while i feel relaxed,2,happiness
73,73,when i realized that it was impossible for me to be as free as i had imagined and that i could not do anythong about it,1,sadness
74,74,is about to camp rock with  amp daddy  yay,1,happiness
75,75,i love gives me a great feeling of contented accomplishment,2,happiness
76,76, yeah that lying in bed things a bugger for blocking creativity  worse if youre pinned down by a pet cat apparently,1,sadness
77,77,gooood morning,1,happiness
78,78,i feel a lot of support and very honoured because i was chosen to represent my country,2,happiness
79,79,i was joking around and feeling good and the next hour i would feel horrible,2,happiness
80,80, my saturday was good  i cannot wait until this monday night,1,happiness
81,81,i am also feeling a bit bitchy about the way things are when we have conversations and others are around,1,anger
82,82,on my birthday when several good friends came to visit me,1,happiness
83,83,im feeling really good about it,3,happiness
84,84, wow 41000 nowyour really kickin careys butt with this competition see you both very soon,3,sadness
85,85,i enjoy driving a brand new car i still feel pained whenever i think of what i would have achieved by investing the money i saved by buying a second hand car,1,sadness
86,86,i feel you i dont believ in you but i keep my faithful to you god gives me a chance to feel what is apathetic after it but much apathetic open up my mind that i can hide this feeling for you i know youre playing with me you show off your love like and maybe after it youll be gone will it happens,1,happiness
87,87, im watching some of your videos in youtube youre funny david  oh and talented of course,1,happiness
88,88,i then ran away leaving me there to feel so hopeless,3,sadness
89,89,i feel fucked,1,anger
90,90, hey guys saw you in st louis and loved you would you ever play in ct i met you outside after and u were so nice,3,happiness
91,91,i feel so peaceful and happy,3,happiness
92,92,i understand that any of my extremely positive attributes and there are some are overshadowed by my weakness and subconsciously some people are wired up to feel superior to others and thereby treat them differently,1,happiness
93,93, yehh just signed,1,happiness
94,94,omfg my favourite jerk chicken place closed,1,sadness
95,95,social was fun swam in the water in my boxers,1,happiness
96,96,when i was younger i was very good in apparatus gymnastics i always won in competitions but once i was only at the fourth place,1,sadness
97,97, im thinking you deserve an award a big shiny one,1,happiness
98,98,headache,1,sadness
99,99,i feel so smart when i find ways to trick myself like this,2,happiness
100,100,i feel only reason skudrive is so popular is becsuse microsoft is so media driven,1,happiness
